file,FFT_1
date,2020-Jun-23 17:02:11.404002
desc,
note,
ch_name,Ch2
ch_type,Auto Spectrum
x_unit,Hz
y_unit,g^2
window,Hann,1.000000e+000
weighting,None
detection,rms
overall,3.813525e-001 rms
ref_ch_name,
ref_ch_id,
ref_y_unit,
db_ref,1.000000e+000
slice,Off,0.000000e+000,
rpm,0.000000e+000
time,2020-Jun-23 17:03:11.804002
data
x,y,y(dB)
3.087500e+002,2.313705e-005,-9.271384e+001
3.100000e+002,1.134200e-005,-9.890620e+001
3.112500e+002,2.611968e-006,-1.116606e+002
3.125000e+002,4.266452e-006,-1.073987e+002
3.137500e+002,1.345155e-006,-1.174246e+002
3.150000e+002,7.021746e-007,-1.230711e+002
3.162500e+002,2.073650e-006,-1.136653e+002
3.175000e+002,1.736761e-006,-1.152052e+002
3.187500e+002,9.956622e-006,-1.000378e+002
3.200000e+002,1.536066e-006,-1.162718e+002
3.212500e+002,2.244301e-005,-9.297838e+001
3.225000e+002,1.493072e-005,-9.651839e+001
3.237500e+002,2.138923e-006,-1.133961e+002
3.250000e+002,3.367481e-006,-1.094539e+002
3.262500e+002,7.928186e-006,-1.020165e+002
3.275000e+002,4.593363e-005,-8.675739e+001
3.287500e+002,2.899641e-005,-9.075311e+001
3.300000e+002,3.671295e-006,-1.087036e+002
3.312500e+002,1.795955e-005,-9.491409e+001
3.325000e+002,5.182367e-007,-1.257094e+002
3.337500e+002,2.160210e-005,-9.331008e+001
3.350000e+002,4.731900e-006,-1.064993e+002
3.362500e+002,2.856176e-006,-1.108843e+002
3.375000e+002,2.419964e-006,-1.123238e+002
3.387500e+002,1.648397e-006,-1.156588e+002
3.400000e+002,1.559761e-006,-1.161388e+002
3.412500e+002,6.333427e-006,-1.039672e+002
3.425000e+002,1.411208e-005,-9.700818e+001
3.437500e+002,8.858745e-007,-1.210526e+002
3.450000e+002,8.531166e-007,-1.213798e+002
3.462500e+002,2.540693e-007,-1.319010e+002
3.475000e+002,9.755852e-007,-1.202147e+002
3.487500e+002,3.750349e-006,-1.085186e+002
3.500000e+002,2.162253e-006,-1.133019e+002
3.512500e+002,6.905191e-006,-1.032165e+002
3.525000e+002,2.987034e-006,-1.104952e+002
3.537500e+002,9.609746e-007,-1.203458e+002
3.550000e+002,1.867107e-007,-1.345766e+002
3.562500e+002,5.880836e-007,-1.246112e+002
3.575000e+002,4.664435e-006,-1.066240e+002
3.587500e+002,8.170162e-006,-1.017554e+002
3.600000e+002,7.638022e-006,-1.023404e+002
3.612500e+002,3.332603e-006,-1.095443e+002
3.625000e+002,9.847300e-008,-1.401337e+002
